Grade,Unit,Lesson Title,Lesson URL,YouTube Link,Worksheet PDF,Google Form,Description,Excerpt
Grade 3,Representing Multiplication,Multiplication and Repeated Addition,https://iconmath.com/lesson/1029/,https://www.youtube.com/embed/dFZ6lqX_L4A,N/A,N/A,Learn how to represent multiplication through repeated addition, enhancing understanding of the concept.,Understand multiplication through repeated addition, reinforcing the concept effectively.
Grade 3,Representing Multiplication,Multiplication and Groups,https://iconmath.com/lesson/1030/,https://www.youtube.com/embed/U8VhIUT8JVg,N/A,N/A,Explore multiplication by grouping objects, making it easier to visualize and calculate.,Visualize multiplication by grouping objects for easier calculations.
Grade 3,Representing Multiplication,Multiplication Using Arrays,https://iconmath.com/lesson/1031/,https://www.youtube.com/embed/FF_uo-W7Ky4,N/A,N/A,Understand multiplication through arrays, helping students see the relationship between rows and columns.,Learn multiplication using arrays to visualize rows and columns.
Grade 3,Representing Multiplication,Multiplication Using the Number Line,https://iconmath.com/lesson/1032/,https://www.youtube.com/embed/RAnMFK_W518,N/A,N/A,Learn to use a number line to visualize and solve multiplication problems effectively.,Use a number line to visualize and solve multiplication problems.
Grade 3,Division,"Division: Quotient, Dividend and Divisor",https://iconmath.com/lesson/1033/,https://www.youtube.com/embed/wGtZ4NWaUio,N/A,N/A,Introduce the concepts of quotient, dividend, and divisor in division, laying the foundation for understanding division.,Understand quotient, dividend, and divisor in division concepts.
Grade 3,Division,Dividing a Number into Groups,https://iconmath.com/lesson/1034/,https://www.youtube.com/embed/6lx-AyGDMQU,N/A,N/A,Learn to divide numbers into equal groups, reinforcing the concept of division through practical examples.,Reinforce division by learning to divide numbers into equal groups.
Grade 3,Division,Division Using Arrays,https://iconmath.com/lesson/1035/,https://www.youtube.com/embed/nPHq-GkerVc,N/A,N/A,Explore division through arrays, helping students visualize how division works with groups of objects.,Visualize division using arrays to understand groupings.
Grade 3,Division,Division Using Multiplication Table,https://iconmath.com/lesson/1050/,https://www.youtube.com/embed/2elNqHOm--Y,N/A,N/A,Learn to use multiplication tables to solve division problems, connecting multiplication and division concepts.,Use multiplication tables to solve division problems effectively.
Grade 3,Division,Division Using Properties of Operations,https://iconmath.com/lesson/1051/,https://www.youtube.com/embed/xUkBJovWKDg,N/A,N/A,Understand how properties of operations can simplify division problems, enhancing problem-solving skills.,Simplify division problems using properties of operations.
Grade 3,Multiplication Word Problems,Word Problems Involving Multiplication Using Arrays,https://iconmath.com/lesson/1036/,https://www.youtube.com/embed/MSwi_6UpyEk,N/A,N/A,Apply multiplication concepts to solve word problems using arrays, bridging the gap between theory and practice.,Solve word problems using arrays to apply multiplication concepts.
Grade 3,Multiplication Word Problems,Word Problems Involving Multiplication Using the Number Line,https://iconmath.com/lesson/1037/,https://www.youtube.com/embed/pmT4JnHBLzo,N/A,N/A,Use a number line to solve multiplication word problems, reinforcing visualization techniques.,Reinforce visualization by solving multiplication word problems with a number line.
Grade 3,Multiplication Word Problems,Word Problems Involving Multiplication Using Groups,https://iconmath.com/lesson/1038/,https://www.youtube.com/embed/kFAH3eKPo7Q,N/A,N/A,Learn to tackle multiplication word problems by grouping, enhancing comprehension and application skills.,Enhance comprehension by solving multiplication word problems through grouping.
Grade 3,Division Word Problems,Word Problems Involving Division Using Groups,https://iconmath.com/lesson/1039/,https://www.youtube.com/embed/HQtdoTQpO0Q,N/A,N/A,Explore division word problems by grouping, helping students apply division concepts in real-life scenarios.,Apply division concepts in real-life scenarios through grouping in word problems.
