﻿Id,Lesson,Question,AnswerText
52,Place Value Chart,"<p>The value of the&nbsp;digit 4 in the number 8,640 is:</p>","Right:<p>700</p>,Wrong:<p>10</p>,Wrong:<p>4</p>,Wrong:<p>400</p>,Wrong:<p>7,000</p>,Wrong:<p>70</p>,Wrong:<p>7</p>"
53,Place Value Chart,"<p>The value of the&nbsp;digit 6 in the number 5,062 is:</p>","Right:<p>100</p>,Wrong:<p>10</p>,Wrong:<p>6</p>,Wrong:<p>600</p>,Wrong:<p>1,000</p>,Wrong:<p>10</p>,Wrong:<p>1</p>"
54,Place Value Chart,"<p>The value of the&nbsp;digit 2 in the number 8,921 is:</p>","Right:<p>900</p>,Wrong:<p>10</p>,Wrong:<p>2</p>,Wrong:<p>200</p>,Wrong:<p>9,000</p>,Wrong:<p>90</p>,Wrong:<p>9</p>"
55,Rounding to the Nearest Ten,<p>13 rounded to the nearest ten is:</p>,"Right:<p>20</p>,Wrong:<p>0</p>,Wrong:<p>20</p>,Wrong:<p>15</p>,Wrong:<p>10</p>,Wrong:<p>100</p>,Wrong:<p>15</p>,Wrong:<p>10</p>,Wrong:<p>15</p>,Wrong:<p>5</p>"
56,Rounding to the Nearest Ten,<p>28 rounded to the nearest ten is:</p>,"Right:<p>30</p>,Wrong:<p>10</p>,Wrong:<p>200</p>,Wrong:<p>25</p>,Wrong:<p>10</p>,Wrong:<p>25</p>,Wrong:<p>20</p>"
57,Rounding to the Nearest Ten,<p>19 rounded to the nearest ten is:</p>,"Right:<p>60</p>,Wrong:<p>10</p>,Wrong:<p>90</p>,Wrong:<p>15</p>,Wrong:<p>10</p>,Wrong:<p>50</p>,Wrong:<p>55</p>"
58,Rounding to the Nearest Ten,<p>87 rounded to the nearest ten is:</p>,"Right:<p>90</p>,Wrong:<p>100</p>,Wrong:<p>80</p>,Wrong:<p>85</p>,Wrong:<p>10</p>,Wrong:<p>80</p>,Wrong:<p>85</p>"
59,Rounding to the Nearest Ten,<p>58 rounded to the nearest ten is:</p>,"Right:<p>60</p>,Wrong:<p>50</p>,Wrong:<p>80</p>,Wrong:<p>55</p>"
60,Rounding to the Nearest Ten,<p>25 rounded to the nearest ten is:</p>,"Right:<p>30</p>,Wrong:<p>20</p>,Wrong:<p>25</p>,Wrong:<p>35</p>"
61,Rounding to the Nearest Ten,<p>55 rounded to the nearest ten is:</p>,"Right:<p>60</p>,Wrong:<p>50</p>,Wrong:<p>65</p>,Wrong:<p>45</p>"
62,Rounding to the Nearest Hundred,<p>133 rounded to the nearest hundred is:</p>,"Right:<p>400</p>,Wrong:<p>150</p>,Wrong:<p>200</p>,Wrong:<p>130</p>,Wrong:<p>100</p>,Wrong:<p>10</p>,Wrong:<p>150</p>,Wrong:<p>300</p>,Wrong:<p>450</p>,Wrong:<p>360</p>,Wrong:<p>300</p>,Wrong:<p>420</p>,Wrong:<p>450</p>"
63,Rounding to the Nearest Hundred,<p>551 rounded to the nearest hundred is:</p>,"Right:<p>500</p>,Wrong:<p>100</p>,Wrong:<p>50</p>,Wrong:<p>550</p>,Wrong:<p>400</p>,Wrong:<p>510</p>,Wrong:<p>550</p>"
64,Rounding to the Nearest Hundred,<p>871 rounded to the nearest hundred is:</p>,"Right:<p>300</p>,Wrong:<p>100</p>,Wrong:<p>70</p>,Wrong:<p>270</p>,Wrong:<p>200</p>,Wrong:<p>330</p>,Wrong:<p>350</p>"
65,Rounding to the Nearest Hundred,<p>497 rounded to the nearest hundred is:</p>,"Right:<p>700</p>,Wrong:<p>100</p>,Wrong:<p>90</p>,Wrong:<p>490</p>,Wrong:<p>600</p>,Wrong:<p>740</p>,Wrong:<p>750</p>"
66,Rounding to the Nearest Hundred,<p>268 rounded to the nearest hundred is:</p>,"Right:<p>100</p>,Wrong:<p>100</p>,Wrong:<p>70</p>,Wrong:<p>250</p>,Wrong:<p>110</p>,Wrong:<p>190</p>,Wrong:<p>150</p>"
67,Rounding to the Nearest Ten and Hundred,<p>13 rounded to the nearest ten is:</p>,"Right:<p>196</p>,Wrong:<p>0</p>,Wrong:<p>20</p>,Wrong:<p>15</p>,Wrong:<p>10</p>,Wrong:<p>100</p>,Wrong:<p>15</p>,Wrong:<p>10</p>,Wrong:<p>15</p>,Wrong:<p>5</p>,Wrong:<p>150</p>,Wrong:<p>200</p>,Wrong:<p>130</p>,Wrong:<p>100</p>,Wrong:<p>10</p>,Wrong:<p>150</p>,Wrong:<p>300</p>,Wrong:<p>450</p>,Wrong:<p>360</p>,Wrong:<p>300</p>,Wrong:<p>420</p>,Wrong:<p>450</p>,Wrong:<p>67</p>,Wrong:<p>88</p>,Wrong:<p>182</p>"
68,Rounding to the Nearest Ten and Hundred,<p>28 rounded to the nearest ten is:</p>,"Right:<p>500</p>,Wrong:<p>10</p>,Wrong:<p>200</p>,Wrong:<p>25</p>,Wrong:<p>10</p>,Wrong:<p>25</p>,Wrong:<p>20</p>,Wrong:<p>100</p>,Wrong:<p>50</p>,Wrong:<p>550</p>,Wrong:<p>400</p>,Wrong:<p>510</p>,Wrong:<p>550</p>"
69,Rounding to the Nearest Ten and Hundred,<p>19 rounded to the nearest ten is:</p>,"Right:<p>300</p>,Wrong:<p>10</p>,Wrong:<p>90</p>,Wrong:<p>15</p>,Wrong:<p>10</p>,Wrong:<p>50</p>,Wrong:<p>55</p>,Wrong:<p>100</p>,Wrong:<p>70</p>,Wrong:<p>270</p>,Wrong:<p>200</p>,Wrong:<p>330</p>,Wrong:<p>350</p>"
70,Rounding to the Nearest Ten and Hundred,<p>87 rounded to the nearest ten is:</p>,"Right:<p>700</p>,Wrong:<p>100</p>,Wrong:<p>80</p>,Wrong:<p>85</p>,Wrong:<p>10</p>,Wrong:<p>80</p>,Wrong:<p>85</p>,Wrong:<p>100</p>,Wrong:<p>90</p>,Wrong:<p>490</p>,Wrong:<p>600</p>,Wrong:<p>740</p>,Wrong:<p>750</p>"
71,Rounding to the Nearest Ten and Hundred,<p>58 rounded to the nearest ten is:</p>,"Right:<p>100</p>,Wrong:<p>50</p>,Wrong:<p>80</p>,Wrong:<p>55</p>,Wrong:<p>100</p>,Wrong:<p>70</p>,Wrong:<p>250</p>,Wrong:<p>110</p>,Wrong:<p>190</p>,Wrong:<p>150</p>"
72,Rounding to the Nearest Ten and Hundred,<p>25 rounded to the nearest ten is:</p>,"Right:<p>30</p>,Wrong:<p>20</p>,Wrong:<p>25</p>,Wrong:<p>35</p>"
73,Rounding to the Nearest Ten and Hundred,<p>55 rounded to the nearest ten is:</p>,"Right:<p>60</p>,Wrong:<p>50</p>,Wrong:<p>65</p>,Wrong:<p>45</p>"
