﻿Id,Lesson,Question,AnswerText
103,Subtraction Rules,"<p>7,465 - 0 =</p>","Right:<p>35</p>,Wrong:<p>0</p>,Wrong:<p>7,460</p>,Wrong:<p>465</p>,Wrong:<p>762</p>,Wrong:<p>760</p>,Wrong:<p>1</p>,Wrong:<p>862 + 375 = 487</p>,Wrong:<p>862 &ndash; 487 = 487</p>,Wrong:<p>487 &ndash; 375 = 862</p>,Wrong:<p>$27</p>,Wrong:<p>$65</p>,Wrong:<p>$81</p>,Wrong:<p>743 + 364 = 379</p>,Wrong:<p>743 &ndash; 379 = 379</p>,Wrong:<p>379 &ndash; 364 = 743</p>,Wrong:<p>53</p>,Wrong:<p>52</p>,Wrong:<p>37</p>"
104,Subtraction Rules,<p>140 - 0 =</p>,"Right:<p>0</p>,Wrong:<p>14</p>,Wrong:<p>0</p>,Wrong:<p>1</p>,Wrong:<p>4,583</p>,Wrong:<p>4,580</p>,Wrong:<p>1</p>"
105,Subtraction Rules,<p>95 - 0 =</p>,"Right:<p>0</p>,Wrong:<p>90</p>,Wrong:<p>0</p>,Wrong:<p>9</p>,Wrong:<p>82</p>,Wrong:<p>80</p>,Wrong:<p>1</p>"
106,Subtraction Rules,"<p>1,398 - 0 =</p>","Right:<p>0</p>,Wrong:<p>0</p>,Wrong:<p>1,390</p>,Wrong:<p>398</p>,Wrong:<p>509</p>,Wrong:<p>500</p>,Wrong:<p>1</p>"
107,Subtraction Rules,"<p>5,024 - 0 =</p>","Right:<p>5,024</p>,Wrong:<p>0</p>,Wrong:<p>5,020</p>,Wrong:<p>524</p>"
108,Subtraction Rules,<p>597 &ndash; 597 =</p>,"Right:<p>0</p>,Wrong:<p>597</p>,Wrong:<p>590</p>,Wrong:<p>1</p>"
109,Subtraction of Multi-Digit Whole Numbers,<p>397 &ndash; 9 =</p>,"Right:<p>35</p>,Wrong:<p>300</p>,Wrong:<p>400</p>,Wrong:<p>307</p>,Wrong:<p>38</p>,Wrong:<p>65</p>,Wrong:<p>40</p>,Wrong:<p>495</p>,Wrong:<p>280</p>,Wrong:<p>480</p>,Wrong:<p>729</p>,Wrong:<p>942</p>,Wrong:<p>933</p>,Wrong:<p>$27</p>,Wrong:<p>$65</p>,Wrong:<p>$81</p>,Wrong:<p>189</p>,Wrong:<p>408</p>,Wrong:<p>279</p>,Wrong:<p>53</p>,Wrong:<p>52</p>,Wrong:<p>37</p>"
110,Subtraction of Multi-Digit Whole Numbers,<p>745 &ndash; 7 =</p>,"Right:<p>668</p>,Wrong:<p>390</p>,Wrong:<p>400</p>,Wrong:<p>307</p>,Wrong:<p>291</p>,Wrong:<p>297</p>,Wrong:<p>370</p>,Wrong:<p>640</p>,Wrong:<p>690</p>,Wrong:<p>579</p>"
111,Subtraction of Multi-Digit Whole Numbers,<p>864 – 8 =</p>,"Right:<p>858</p>,Wrong:<p>64</p>,Wrong:<p>800</p>,Wrong:<p>850</p>,Wrong:<p>942</p>,Wrong:<p>924</p>,Wrong:<p>382</p>"
112,Subtraction of Multi-Digit Whole Numbers,<p>593 &ndash; 8 =</p>,"Right:<p>559</p>,Wrong:<p>500</p>,Wrong:<p>580</p>,Wrong:<p>508</p>,Wrong:<p>641</p>,Wrong:<p>569</p>,Wrong:<p>659</p>"
113,Subtraction of Multi-Digit Whole Numbers,<p>132 &ndash; 9 =</p>,"Right:<p>360</p>,Wrong:<p>132</p>,Wrong:<p>100</p>,Wrong:<p>120</p>,Wrong:<p>368</p>,Wrong:<p>484</p>,Wrong:<p>440</p>"
114,Addition of Multi-Digit Whole Numbers,"<p>Aisha has $107 to prepare for a birthday party. She wants to buy a big cake for $42, paper cups and plates for $17, and balloons for $22. How much money will be left after buying all these things?</p>","Right:<p>$26</p>,Wrong:<p>$27</p>,Wrong:<p>$65</p>,Wrong:<p>$81</p>"
115,Subtraction of Multi-Digit Whole Numbers,"<p>Aisha has $107 to prepare for a birthday party. She wants to buy a big cake for $42, paper cups and plates for $17, and balloons for $22. How much money will be left after buying all these things?</p>","Right:<p>$26</p>,Wrong:<p>$27</p>,Wrong:<p>$65</p>,Wrong:<p>$81</p>"
116,Adding the Number 10 to the Multiplication Table,<p>1 &times; 10 =</p>,"Right:<p>70 بيت شعري</p>,Wrong:<p>0</p>,Wrong:<p>1</p>,Wrong:<p>9</p>,Wrong:<p>7</p>,Wrong:<p>3</p>,Wrong:<p>13</p>,Wrong:<p>10</p>,Wrong:<p>4</p>,Wrong:<p>6</p>,Wrong:<p>7</p>,Wrong:<p>3</p>,Wrong:<p>17</p>,Wrong:<p>0</p>,Wrong:<p>10</p>,Wrong:<p>1,000</p>,Wrong:<p>100 بيت شعري</p>,Wrong:<p>71 بيت شعري</p>,Wrong:<p>150 بيت شعري</p>"
117,Multiples of Ten,<p>1 &times; 10 =</p>,"Right:<p>100</p>,Wrong:<p>0</p>,Wrong:<p>1</p>,Wrong:<p>9</p>,Wrong:<p>7</p>,Wrong:<p>3</p>,Wrong:<p>13</p>,Wrong:<p>10</p>,Wrong:<p>4</p>,Wrong:<p>6</p>,Wrong:<p>7</p>,Wrong:<p>3</p>,Wrong:<p>17</p>,Wrong:<p>0</p>,Wrong:<p>10</p>,Wrong:<p>1,000</p>"
118,Multiplying Numbers by Multiples of Ten,<p>4 &times; 40 =</p>,"Right:<p>120</p>,Wrong:<p>16</p>,Wrong:<p>44</p>,Wrong:<p>36</p>,Wrong:<p>25</p>,Wrong:<p>50</p>,Wrong:<p>2,500</p>,Wrong:<p>2,100</p>,Wrong:<p>73</p>,Wrong:<p>67</p>,Wrong:<p>90</p>,Wrong:<p>10</p>,Wrong:<p>100</p>,Wrong:<p>150</p>,Wrong:<p>400</p>,Wrong:<p>220</p>,Wrong:<p>6 &times; 30</p>,Wrong:<p>8 &times; 80</p>,Wrong:<p>7 &times; 70</p>,Wrong:<p>9 &times; 8 = 72</p>,Wrong:<p>5 &times; 60 = 300</p>,Wrong:<p>9 &times; 5 = 45</p>,Wrong:<p>9 &times; 8 = 73</p>,Wrong:<p>80 &times; 6 = 560</p>,Wrong:<p>9 &times; 7 = 62</p>,Wrong:<p>8 &times; 5</p>,Wrong:<p>4 &times; 40</p>,Wrong:<p>3 &times; 20</p>,Wrong:<p>30 &times; 7</p>,Wrong:<p>5 &times; 50</p>,Wrong:<p>2 &times; 5</p>,Wrong:<p>30</p>,Wrong:<p>120</p>,Wrong:<p>150</p>,Wrong:<p>30</p>,Wrong:<p>480</p>,Wrong:<p>360</p>"
119,Multiplying Numbers by Multiples of Ten,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>6 &times; 7</p>,Wrong:<p>6 &times; 8 = 48</p>,Wrong:<p>4 &times; 20 = 80</p>,Wrong:<p>3 &times; 8 = 24</p>,Wrong:<p>7 &times; 8 = 65</p>,Wrong:<p>20 &times; 7 = 150</p>,Wrong:<p>5 &times; 6 = 35</p>,Wrong:<p>4 &times; 5</p>,Wrong:<p>70 &times; 2</p>,Wrong:<p>4 &times; 500</p>,Wrong:<p>20 &times; 4</p>,Wrong:<p>8 &times; 10</p>,Wrong:<p>4 &times; 5</p>"
120,Multiplying Numbers by Multiples of Ten,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>8 &times; 6 = 48</p>,Wrong:<p>11 &times; 4 = 44</p>,Wrong:<p>5 &times; 70 = 350</p>,Wrong:<p>7 &times; 2 = 14</p>,Wrong:<p>4 &times; 7 = 27</p>,Wrong:<p>30 &times; 4 = 130</p>,Wrong:<p>9 &times; 6 = 45</p>"
121,Multiplying Numbers by Multiples of Ten,"<p>Which of the following multiplication sentences is <span style=""text-decoration: underline;"">not true</span>?</p>","Right:<p>2 &times; 6</p>,Wrong:<p>20 &times; 5 = 100</p>,Wrong:<p>5 &times; 8 = 40</p>,Wrong:<p>4 &times; 9 = 36</p>,Wrong:<p>7 &times; 30</p>,Wrong:<p>2 &times; 20</p>,Wrong:<p>50 &times; 7</p>,Wrong:<p>2 &times; 30</p>,Wrong:<p>10 &times; 11</p>,Wrong:<p>3 &times; 10</p>"
122,Introducing Fractions,<p>There are 4 baskets. Each basket contains exactly 2 apples. What fraction represents just one apple out of all the baskets?</p>,"Right:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{1}{6}$</span><span class=""fraction non-leaf""><span class=""numerator"">1</span><span class=""denominator"">6</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span></p>,Wrong:<p>&nbsp;<span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{1}{4}$</span><span class=""fraction non-leaf""><span class=""numerator"">1</span><span class=""denominator"">4</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span>&nbsp;</p>,Wrong:<p>&nbsp;<span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{1}{2}$</span><span class=""fraction non-leaf""><span class=""numerator"">1</span><span class=""denominator"">2</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span>&nbsp;</p>,Wrong:<p>&nbsp;<span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{3}{4}$</span><span class=""fraction non-leaf""><span class=""numerator"">3</span><span class=""denominator"">4</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span>&nbsp;</p>,Wrong:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{1}{3}$</span><span class=""fraction non-leaf""><span class=""numerator"">1</span><span class=""denominator"">3</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span></p>,Wrong:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{1}{1}$</span><span class=""fraction non-leaf""><span class=""numerator"">1</span><span class=""denominator"">1</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span></p>,Wrong:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{1}{2}$</span><span class=""fraction non-leaf""><span class=""numerator"">1</span><span class=""denominator"">2</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span></p>"
123,Equivalent Fractions Using Visual Models,<p>Which of the following fractions is equivalent to 3?</p>,"Right:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$2$</span>2</span></p>,Wrong:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{1}{3}$</span><span class=""fraction non-leaf""><span class=""numerator"">1</span><span class=""denominator"">3</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span></p>,Wrong:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{9}{6}$</span><span class=""fraction non-leaf""><span class=""numerator"">9</span><span class=""denominator"">6</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span></p>,Wrong:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{4}{12}$</span><span class=""fraction non-leaf""><span class=""numerator"">4</span><span class=""denominator"">12</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span></p>,Wrong:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$4$</span>4</span></p>,Wrong:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{2}{4}$</span><span class=""fraction non-leaf""><span class=""numerator"">2</span><span class=""denominator"">4</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span></p>,Wrong:<p><span class=""rendered-latex mathquill-rendered-math hasCursor"" contenteditable=""false""><span class=""selectable"">$\frac{4}{1}$</span><span class=""fraction non-leaf""><span class=""numerator"">4</span><span class=""denominator"">1</span><span style=""display: inline-block; width: 0;"">&nbsp;</span></span></span></p>"
