﻿Id,Lesson,Question,AnswerText
205,Division Using Properties of Operations,"<p>If 60 ÷ 5 = 12, what is (60 × 2) ÷ (5 × 2)?</p>","Right:<p>12</p>,Wrong:<p>24</p>,Wrong:<p>6</p>,Wrong:<p>30</p>"
206,The Multiplication Table,<p>What is 7 × 8 according to the multiplication table?</p>,"Right:<p>56</p>,Wrong:<p>54</p>,Wrong:<p>58</p>,Wrong:<p>48</p>"
207,The Multiplication Table,"<p>In the multiplication table, what is 9 × 6?</p>","Right:<p>54</p>,Wrong:<p>48</p>,Wrong:<p>56</p>,Wrong:<p>60</p>"
208,The Multiplication Table,"<p>According to the multiplication table, what is 4 × 7?</p>","Right:<p>28</p>,Wrong:<p>24</p>,Wrong:<p>32</p>,Wrong:<p>30</p>"
209,The Multiplication Table,<p>What is the product of 8 and 5 in the multiplication table?</p>,"Right:<p>40</p>,Wrong:<p>35</p>,Wrong:<p>45</p>,Wrong:<p>30</p>"
210,Patterns in the Multiplication Table for the Number 5,<p>What is the ones digit in all the products when 5 is multiplied by odd numbers?</p>,"Right:<p>5</p>,Wrong:<p>0</p>,Wrong:<p>2</p>,Wrong:<p>8</p>"
211,Patterns in the Multiplication Table for the Number 5,<p>What is the ones digit in all the products when 5 is multiplied by even numbers?</p>,"Right:<p>0</p>,Wrong:<p>5</p>,Wrong:<p>2</p>,Wrong:<p>8</p>"
212,Patterns in the Multiplication Table for the Number 5,"<p>If 5 × 7 = 35 and 5 × 8 = 40, what will be 5 × 9?</p>","Right:<p>45</p>,Wrong:<p>40</p>,Wrong:<p>50</p>,Wrong:<p>55</p>"
213,Patterns in the Multiplication Table for the Number 5,"<p>In the 5 times table, how does the tens digit change as you go down the table?</p>","Right:<p>It increases by 1 each time</p>,Wrong:<p>It increases by 2 each time</p>,Wrong:<p>It stays the same</p>,Wrong:<p>It decreases by 1 each time</p>"
214,Adding the Number 10 to the Multiplication Table,"<p>If 7 × 8 = 56, what is 17 × 8?</p>","Right:<p>136</p>,Wrong:<p>126</p>,Wrong:<p>146</p>,Wrong:<p>156</p>"
215,Adding the Number 10 to the Multiplication Table,"<p>If 6 × 9 = 54, what is 16 × 9?</p>","Right:<p>144</p>,Wrong:<p>134</p>,Wrong:<p>154</p>,Wrong:<p>164</p>"
216,Adding the Number 10 to the Multiplication Table,<p>How much more is 15 × 7 than 5 × 7?</p>,"Right:<p>70</p>,Wrong:<p>60</p>,Wrong:<p>80</p>,Wrong:<p>75</p>"
217,Adding the Number 10 to the Multiplication Table,"<p>If 4 × 6 = 24, what is 14 × 6?</p>","Right:<p>84</p>,Wrong:<p>74</p>,Wrong:<p>94</p>,Wrong:<p>104</p>"
218,Finding the Product Using the Multiplication Table,"<p>Using the multiplication table, what is 6 × 7?</p>","Right:<p>42</p>,Wrong:<p>36</p>,Wrong:<p>48</p>,Wrong:<p>35</p>"
219,Finding the Product Using the Multiplication Table,"<p>If 8 × 5 = 40, what is 8 × 6?</p>","Right:<p>48</p>,Wrong:<p>46</p>,Wrong:<p>50</p>,Wrong:<p>54</p>"
220,Finding the Product Using the Multiplication Table,"<p>Using the multiplication table, what is the product of 9 and 7?</p>","Right:<p>63</p>,Wrong:<p>56</p>,Wrong:<p>72</p>,Wrong:<p>81</p>"
221,Finding the Product Using the Multiplication Table,"<p>In the multiplication table, what number do you get when you multiply 8 by 9?</p>","Right:<p>72</p>,Wrong:<p>63</p>,Wrong:<p>81</p>,Wrong:<p>64</p>"
