Id,Lesson,Slug,Description,Excerpt,Status,Module,Prerequisite,Preview,Tags,Image,Length,Complexity,Video,Pass Required,Passmark,Number Of Questions,Random Question Order,Auto-Grade,Quiz Reset,Allow Comments,Questions
27,Estimating Sums Using Rounding,,Learning to estimate sums by rounding numbers in Grade 3 improves mental math skills and accuracy in calculations. Students will explore how rounding simplifies calculations,Learn to estimate sums by rounding numbers,publish,Solving Word Problems Using Estimation and Rounding,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/kfKjjoNlkfA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:74, id:75, id:76, id:77, id:78"
28,Estimating Sums in Word Problems,,Applying estimation techniques to solve word problems involving sums in Grade 3 enhances problem-solving skills. Students will learn how to use estimation to approximate solutions to word problems involving addition,Apply estimation techniques to solve word problems involving sums,publish,Solving Word Problems Using Estimation and Rounding,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/mRc4QsEInj8"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:79, id:80, id:81"
29,Reasonableness of Answers Using Rounding,,Evaluating the reasonableness of answers by rounding numbers in Grade 3 fosters critical thinking in problem-solving. Students will learn how rounding can be used to quickly check if a calculated answer is reasonable,Evaluate the reasonableness of answers by rounding,publish,Solving Word Problems Using Estimation and Rounding,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/CY5bg1VnAM0"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:82, id:83, id:84, id:85, id:86"
30,Solving Word Problems Using Estimation and Rounding,,Learning to solve word problems using estimation and rounding techniques in Grade 3 improves accuracy and efficiency in calculations. Students will explore how rounding and estimation can be used to solve word problems more efficiently,Learn to solve word problems using estimation and rounding,publish,Solving Word Problems Using Estimation and Rounding,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/hNqkpwdkwyE"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:87
31,Solving Multi-Step Word Problems Using Rounding,,Applying rounding techniques to solve multi-step word problems in Grade 3 enhances problem-solving strategies. Students will learn how to use rounding to simplify each step of a multi-step word problem,Apply rounding techniques to solve multi-step word problems,publish,Solving Word Problems Using Estimation and Rounding,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/iLJEB1hge50"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:40, id:41"
32,Using Estimation to Solve Multi-Step Word Problems Involving Multiplication and Division,,Using estimation to tackle multi-step word problems involving multiplication and division in Grade 3 improves calculation skills. Students will learn how to estimate solutions to multi-step word problems by rounding numbers,Use estimation to tackle multi-step word problems involving multiplication and division,publish,Solving Word Problems Using Estimation and Rounding,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/3cOs4YKaD2Q"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
33,Even and Odd Numbers,,Understanding the concepts of even and odd numbers in Grade 3 enhances number sense and classification skills. Students will explore how to identify even and odd numbers,Understand the concepts of even and odd numbers,publish,Even and Odd Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/tLWFt_vW33E"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:42
34,Adding Odd and Even Numbers,,Learning to add odd and even numbers in Grade 3 reinforces addition skills and understanding of number properties. Students will explore the rules and patterns governing the addition of odd and even numbers,Learn to add odd and even numbers,publish,Even and Odd Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/BoBPvQmcg-Y"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:43
35,Multiplying by Even Numbers,,Exploring multiplication with even numbers in Grade 3 enhances multiplication skills and understanding of number patterns. Students will learn how multiplication with even numbers follows specific patterns,Explore multiplication with even numbers,publish,Even and Odd Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/L2zPD9JxcHM"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:44, id:45, id:46"
36,Place Value Chart,,Utilizing a place value chart to understand the value of digits in numbers in Grade 3 reinforces foundational math skills. Students will learn how to identify the value of digits in a number by their place value,Learn to use a place value chart to understand the value of digits in numbers,publish,Place Value,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/lmEpadL73ck"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:50, id:51, id:52, id:53, id:54"
