Id,Lesson,Slug,Description,Excerpt,Status,Module,Prerequisite,Preview,Tags,Image,Length,Complexity,Video,Pass Required,Passmark,Number Of Questions,Random Question Order,Auto-Grade,Quiz Reset,Allow Comments,Questions
69,Comparing Fractions Using the Number Line,,Understanding how to compare fractions on a number line in Grade 3 enhances comprehension of fraction sizes. Students will utilize the number line to compare fractions,Understand how to compare fractions on a number line,publish,Comparing Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/KFxIXPSp6xg"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
70,Comparing Fractions with Equal Denominators,,Learning to compare fractions with equal denominators in Grade 3 reinforces the understanding of fraction relationships. Students will explore how to compare fractions with the same denominator,Learn to compare fractions with equal denominators,publish,Comparing Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/mPrL4msjEnY"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
71,Comparing Fractions with Equal Numerators on the Number Line,,Exploring how to compare fractions with equal numerators on the number line in Grade 3 enhances understanding of fraction sizes. Students will utilize the number line to compare fractions with the same numerator,Explore how to compare fractions with equal numerators on the number line,publish,Comparing Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/HoJfypsIkao"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
72,Measuring Mass Using Units of Kilogram,,Learning to measure mass using kilograms in Grade 3 reinforces the understanding of weight and measurement. Students will explore how to use kilograms as a standard unit of measurement for mass,Learn to measure mass using kilograms,publish,Measurements: Masses and Liquid Volume,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/Du-qEdxPC5Q"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
73,Measuring Mass Using Units of Gram,,Understanding how to measure mass using grams in Grade 3 enhances skills in weight measurement. Students will learn to use grams as a metric unit of measurement for mass,Understand how to measure mass using grams,publish,Measurements: Masses and Liquid Volume,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/GNcA-bD7F68"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
74,Measuring Liquid Volume Using Units of Liter,,Learning to measure liquid volume using liters in Grade 3 reinforces the understanding of volume measurement. Students will explore how to use liters as a standard unit of measurement for liquid volume,Learn to measure liquid volume using liters,publish,Measurements: Masses and Liquid Volume,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/CrFYdnWXgFE"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
75,Estimating by Adding Whole Measurements of Weight,,Exploring estimation techniques for adding whole measurements of weight in Grade 3 enhances problem-solving skills. Students will learn to estimate the total weight of several objects by adding their approximate weights,Explore estimation techniques for adding whole measurements of weight,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/KccTZToKcSA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
76,Subtracting Whole Measurements of Weight,,Learning to subtract whole measurements of weight in Grade 3 reinforces skills in weight measurement and subtraction. Students will explore how to subtract the weight of several objects,Learn to subtract whole measurements of weight,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/qkzYluMUKB8"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
77,Solving Mass Measurements Word Problems with Unit Fractions,,Applying unit fractions to solve word problems involving mass measurements in Grade 3 enhances problem-solving skills. Students will learn to use unit fractions to solve problems involving mass,Apply unit fractions to solve word problems involving mass measurements,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/B1GF5KGgSY8"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
78,Multiplying Whole Measurements of Mass,,Learning to multiply whole measurements of mass in Grade 3 reinforces multiplication skills in real-world contexts. Students will explore how to multiply weights,Learn to multiply whole measurements of mass,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/Zcr7xdTP0oE"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
